honour_type,season,league,player_name,award_name,context
player_of_season,2016/17,Serie A,Gianluigi Buffon,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award
player_of_season,2017/18,Serie A,Mauro Icardi,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award
player_of_season,2018/19,Serie A,Cristiano Ronaldo,Serie A MVP,Official Lega Serie A Awards
player_of_season,2019/20,Serie A,Paulo Dybala,Serie A MVP,Official Lega Serie A Awards
player_of_season,2020/21,Serie A,Romelu Lukaku,Serie A MVP,Official Lega Serie A Awards
player_of_season,2021/22,Serie A,Rafael Leão,Serie A MVP,Official Lega Serie A Awards
player_of_season,2022/23,Serie A,Khvicha Kvaratskhelia,Serie A MVP,Official Lega Serie A Awards
player_of_season,2023/24,Serie A,Lautaro Martínez,Serie A MVP,Official Lega Serie A Awards
player_of_season,2024/25,Serie A,Scott McTominay,Serie A MVP,Official Lega Serie A Awards
player_of_season,2010/11,Bundesliga,Manuel Neuer,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award
player_of_season,2011/12,Bundesliga,Marco Reus,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award
player_of_season,2012/13,Bundesliga,Bastian Schweinsteiger,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award
player_of_season,2013/14,Bundesliga,Manuel Neuer,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award
player_of_season,2014/15,Bundesliga,Kevin De Bruyne,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award
player_of_season,2015/16,Bundesliga,Jérôme Boateng,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award
player_of_season,2016/17,Bundesliga,Philipp Lahm,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award
player_of_season,2018/19,Bundesliga,Marco Reus,German Footballer of the Year (Fußballer des Jahres),Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award; Reus played for Borussia Dortmund
player_of_season,2019/20,Bundesliga,Robert Lewandowski,Bundesliga Player of the Season,Official Bundesliga Awards
player_of_season,2020/21,Bundesliga,Erling Haaland,Bundesliga Player of the Season,Official Bundesliga Awards
player_of_season,2021/22,Bundesliga,Christopher Nkunku,Bundesliga Player of the Season,Official Bundesliga Awards
player_of_season,2022/23,Bundesliga,Jude Bellingham,Bundesliga Player of the Season,Official Bundesliga Awards
player_of_season,2023/24,Bundesliga,Florian Wirtz,Bundesliga Player of the Season,Official Bundesliga Awards
player_of_season,2024/25,Bundesliga,Harry Kane,Bundesliga Player of the Season,Official Bundesliga Awards
player_of_season,2010/11,Ligue 1,Eden Hazard,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2011/12,Ligue 1,Eden Hazard,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2012/13,Ligue 1,Zlatan Ibrahimović,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2013/14,Ligue 1,Zlatan Ibrahimović,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2014/15,Ligue 1,Alexandre Lacazette,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2015/16,Ligue 1,Zlatan Ibrahimović,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2016/17,Ligue 1,Edinson Cavani,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2017/18,Ligue 1,Neymar,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2018/19,Ligue 1,Kylian Mbappé,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2020/21,Ligue 1,Kylian Mbappé,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2021/22,Ligue 1,Kylian Mbappé,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2022/23,Ligue 1,Kylian Mbappé,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2023/24,Ligue 1,Kylian Mbappé,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2024/25,Ligue 1,Ousmane Dembélé,UNFP Ligue 1 Player of the Year,Official UNFP award
player_of_season,2010/11,Primeira Liga,Hulk,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2011/12,Primeira Liga,Hulk,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2012/13,Primeira Liga,Nemanja Matić,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2013/14,Primeira Liga,Enzo Pérez,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2014/15,Primeira Liga,Jonas,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2015/16,Primeira Liga,Jonas,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2016/17,Primeira Liga,Pizzi,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2017/18,Primeira Liga,Bruno Fernandes,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2018/19,Primeira Liga,Bruno Fernandes,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2019/20,Primeira Liga,Jesús Corona,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2020/21,Primeira Liga,Sebastián Coates,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2021/22,Primeira Liga,Darwin Núñez,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2022/23,Primeira Liga,Otávio,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2023/24,Primeira Liga,Viktor Gyökeres,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2024/25,Primeira Liga,Viktor Gyökeres,LPFP Primeira Liga Player of the Year,Official Liga Portugal/LPFP award
player_of_season,2010/11,Eredivisie,Theo Janssen,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2011/12,Eredivisie,Jan Vertonghen,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2012/13,Eredivisie,Wilfried Bony,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2013/14,Eredivisie,Daley Blind,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2014/15,Eredivisie,Georginio Wijnaldum,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2015/16,Eredivisie,Davy Klaassen,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2016/17,Eredivisie,Karim El Ahmadi,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2017/18,Eredivisie,Hakim Ziyech,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2018/19,Eredivisie,Matthijs de Ligt,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2020/21,Eredivisie,Dušan Tadić,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2021/22,Eredivisie,Cody Gakpo,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2022/23,Eredivisie,Orkun Kökçü,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2023/24,Eredivisie,Luuk de Jong,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
player_of_season,2024/25,Eredivisie,Igor Paixão,Dutch Footballer of the Year (Gouden Schoen),Merged Voetballer van het Jaar / Golden Boot award
