id,name,yr,lc,team,from,to,ga90,basis
41124,B. Aouacheria,2018,PRT,Moreirense,CDM,CAM,0.098,"attacking mid (career CAM:3), very low output *check"
41124,B. Aouacheria,2017,PRT,Moreirense,CDM,CAM,0.151,"attacking mid (career CAM:3), very low output *check"
49852,Eljero George Rinaldo Elia,2019,TR,Başakşehir,CDM,Winger,0.34,Eljero Elia — winger
49852,Eljero George Rinaldo Elia,2018,TR,Başakşehir,CDM,Winger,0.173,Eljero Elia — winger
24,M. Philipp,2020,BL,VfL Wolfsburg,CDM,ST,0.647,forward (career ST:4)
516,A. Robben,2018,BL,Bayern München,CDM,Winger,0.635,clear winger
635,R. Mahrez,2017,PL,Leicester,CDM,Winger,0.669,career Winger:4 — clear
663,M. Terrier,2018,L1,Lyon,CDM,Winger,0.547,Lyon young wide forward
1356,N. Dirar,2017,TR,Fenerbahçe,CDM,Winger,0.474,right winger/wing-back
2116,M. Lestienne,2019,BPL,Standard Liege,CDM,Winger,0.308,wide attacker (Standard)
2605,T. Usami,2016,BL,FC Augsburg,CDM,Winger,0,"known winger, injury/bench season (ga90 0)"
2751,M. Leckie,2018,BL,Hertha BSC,CDM,Winger,0.192,Australian winger
2790,J. Guðmunds­son,2017,PL,Burnley,CDM,Winger,0.317,career Winger:6 — clear
2799,A. Guðmundsson,2021,SA,Genoa,CDM,ST,0.149,forward/second-striker (career ST:3)
2808,A. Mehmedi,2018,BL,VfL Wolfsburg,CDM,Winger,0.583,winger/forward
3175,Z. Ferhat,2020,L1,Nimes,CDM,Winger,0.487,winger
3313,Nélson Luz,2021,PRT,Guimaraes,CDM,Winger,0.816,winger *check
8453,A. Baby,2016,BPL,Charleroi,CDM,Winger,0.182,career Winger:4
8616,Nill De Pauw,2017,BPL,Zulte Waregem,CDM,Winger,0.269,Belgian winger
13645,O. Barreto,2021,PRT,Santa Clara,CDM,Winger,0.522,winger *check
16839,C. Benavente,2017,BPL,Charleroi,CDM,Winger,0.336,attacking mid/winger
19195,A. El Ghazi,2020,PL,Aston Villa,CDM,Winger,0.558,left winger (Villa)
19246,R. van La Parra,2017,PL,Huddersfield,CDM,Winger,0.126,winger by trade
21496,N. Benezet,2018,L1,Guingamp,CDM,Winger,0.216,winger
21503,Y. N&apos;Gbakoto,2018,L1,Guingamp,CDM,Winger,0.161,winger
25647,I. Traoré,2016,BL,Borussia Mönchengladbach,CDM,Winger,0.429,Ibrahima Traore — winger *check
39095,E. Rashani,2021,L1,Clermont Foot,CDM,ST,0.558,forward (career ST:3)
39137,Z. Bytyqi,2021,TR,Konyaspor,CDM,Winger,0.4,winger
44612,Garry Rodrigues,2019,TR,Fenerbahçe,CDM,Winger,0.387,Garry Rodrigues — career Winger:5
48022,D. Irandust,2021,ERE,Groningen,CDM,Winger,0.187,winger *check
48579,Caiuby,2018,BL,FC Augsburg,CDM,Winger,0.179,winger/forward
49851,Robinho,2018,TR,Başakşehir,CDM,Winger,0.504,Robinho — winger/forward
50123,Silvestre Varela,2018,TR,Kayserispor,CDM,Winger,0.392,Silvestre Varela — winger
50180,S. Gürler,2019,TR,Göztepe,CDM,Winger,0.508,career Winger:8 — clear
62004,H. Kagé,2019,BPL,Kortrijk,CDM,Winger,0.22,attacking/wide *check
83023,K. Frei,2020,ERE,Emmen,CDM,Winger,0,"Kerim Frei — winger, 0-output season"
85772,J. Le Douaron,2020,L1,Stade Brestois 29,CDM,Winger,0.336,forward/winger
