card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
145349,2522,A. Sanabria,2223,ST,ST,high,"CONFIRM: Jurić's 9; 12 goals"
181104,11012,A. Sowe,2425,ST,ST,medium,"CONFIRM: Rizespor's 9; 19 goals"
140328,392,Adrián López,1718,UNK,ST,low,"ASSIGNED (UNK pool): forward (CF/SS) in Deportivo's relegation season — attacking role clear, CF plurality thin"
166044,378,Alex Telles,1920,CB,FB,high,"CORRECTION — your flag was right: Porto's left-back and penalty taker (11 goals incl. pens, 8 assists); pool's CB is plainly wrong"
160117,2206,B. Bourigeaud,1718,CM,CM,medium,"CONFIRM: central/right mid and set-piece taker at Rennes — consistent with his 1819/2122 cards"
172333,36908,B. Johnsen,1718,Winger,ST,medium,"CORRECTION: ADO's target 9 (19 goals, with El Khayati creating behind) — pool's Winger is wrong"
130749,129711,B. Johnson,2425,Winger,Winger,high,"CONFIRM: Spurs' RW; 11 goals"
172166,37272,B. Kuwas,1819,ST,Winger,medium,"CORRECTION: Heracles's RW captain (10G/10A from the flank) — pool's ST is wrong"
132801,636,Bernardo Silva,1920,CAM,Winger,low,"CORRECTION with flag: RW/CM mix — pushed to left CM after De Bruyne's return, then rotated wings; genuinely ambiguous Winger/CM season, identical verdict to earlier passes; pool's CAM fits neither half well"
137986,47472,Borja Mayoral,2324,ST,ST,high,"CONFIRM: Getafe's 9; 15 goals"
131073,247,C. Gakpo,2425,Winger,Winger,high,"CONFIRM: Slot's LW"
131463,67972,C. Gallagher,2324,CDM,CM,medium,"CORRECTION: box-to-box 8/10 under Pochettino — Caicedo held; identical verdict to this same card_id in the earlier bigclub delivery"
131402,19083,C. Morris,2324,ST,ST,high,"CONFIRM: Luton's 9 and penalty taker"
140191,47464,Campaña,1819,CM,CM,high,"CONFIRM: Levante's deep-lying playmaker (9 assists)"
164296,761,Cristo González,2324,Winger,UNSURE,UNSURE,"Cannot establish his per-season role split at Arouca — Portuguese coverage reports him across SS/wide/CF and I have no citable games-per-position basis to pick; 15G/9A confirms an attacking role but not the bucket"
133217,18870,D. Brooks,1819,Winger,Winger,high,"CONFIRM: Bournemouth's RW breakout"
132869,18766,D. Calvert-Lewin,1920,ST,ST,high,"CONFIRM: Everton's 9, especially under Ancelotti from December"
148105,30487,D. Falcinelli,1617,ST,ST,high,"CONFIRM: Crotone's 9 in the survival miracle; 13 goals"
152309,2601,D. Kamada,2223,CDM,CDM,low,"CONFIRM narrowly: split between the central pair and the dual-10 slots in Glasner's 3-4-2-1 — genuine deep/advanced split, deep share large enough for a narrow confirm"
131978,30435,D. Kulusevski,2122,ST,Winger,high,"CORRECTION: Conte's RW from the January arrival (1267 min) — pool's ST is plainly wrong; consistent with his 2324 card"
146568,332,D. Mertens,2021,ST,ST,low,"CONFIRM narrowly: CF/false-9 rotation with the arriving Osimhen plus second-striker use (1464 min) — CF plurality, close"
147015,332,D. Mertens,1920,ST,ST,medium,"CONFIRM: false 9/CF in rotation with Milik"
